GWI_ID,Date_time,Num_etape,DTW_1,DTW_2,Tape_error,Comments,original_timestamp_ms,timestamp_utc,timestamp_local
TN017_000004,2021-08-12 18:05:00.000,1_275959,34.38,34.38,-0.01,Captured by Sri ,1628791500000,2021-08-12 18:05:00,2021-08-12 13:05:00 -0500
TN017_000004,2021-08-12 18:10:00.000,1_275959,34.46,34.46,-0.01,Captured later by Sri ,1628791800000,2021-08-12 18:10:00,2021-08-12 13:10:00 -0500
TN017_000004,2021-08-12 18:15:00.000,1_275959,34.54,34.54,-0.01,Captured later by Sri ,1628792100000,2021-08-12 18:15:00,2021-08-12 13:15:00 -0500
TN017_000004,2021-08-12 18:25:00.000,1_275959,34.71,34.71,-0.01,Captured later by Sri ,1628792700000,2021-08-12 18:25:00,2021-08-12 13:25:00 -0500
TN017_000004,2021-08-12 18:35:00.000,1_275959,34.86,34.86,-0.01,Captured later by Sri ,1628793300000,2021-08-12 18:35:00,2021-08-12 13:35:00 -0500
TN017_000004,2021-08-12 18:45:00.000,1_275959,35.02,35.02,-0.01,Captured later by Sri ,1628793900000,2021-08-12 18:45:00,2021-08-12 13:45:00 -0500
TN017_000004,2021-08-12 18:55:00.000,1_275959,35.16,35.16,-0.01,Captured later by Sri ,1628794500000,2021-08-12 18:55:00,2021-08-12 13:55:00 -0500
TN017_000004,2021-08-12 19:09:00.000,1_275959,35.38,35.38,-0.01,Captured later by Sri ,1628795340000,2021-08-12 19:09:00,2021-08-12 14:09:00 -0500
TN017_000004,2021-08-12 19:12:00.000,1_275959,35.42,35.42,-0.01,Captured later by Sri ,1628795520000,2021-08-12 19:12:00,2021-08-12 14:12:00 -0500
TN017_000004,2021-08-12 19:36:00.000,1_275959,35.77,35.77,-0.01,Second transducer in. Captured later by Sri ,1628796960000,2021-08-12 19:36:00,2021-08-12 14:36:00 -0500
TN017_000004,2021-08-12 19:45:00.000,1_275959,35.92,35.92,-0.01,Captured later by Sri,1628797500000,2021-08-12 19:45:00,2021-08-12 14:45:00 -0500
TN017_000004,2021-08-13 16:13:00.000,1_275959,32.36,32.36,-0.01,Captured later by Sri ,1628871180000,2021-08-13 16:13:00,2021-08-13 11:13:00 -0500
TN017_000004,2021-08-13 16:18:00.000,1_275959,32.55,32.55,-0.01,Captured later by Sri ,1628871480000,2021-08-13 16:18:00,2021-08-13 11:18:00 -0500
TN017_000004,2021-08-13 16:35:00.000,1_275959,32.82,32.82,-0.01,Captured later by Sri ,1628872500000,2021-08-13 16:35:00,2021-08-13 11:35:00 -0500
TN017_000004,2021-08-13 17:05:00.000,1_275959,46.34,46.34,-0.01,Captured by Sri ,1628874300000,2021-08-13 17:05:00,2021-08-13 12:05:00 -0500
TN017_000004,2021-08-13 17:30:00.000,1_275959,46.01,46.01,-0.01,Captured by Sri ,1628875800000,2021-08-13 17:30:00,2021-08-13 12:30:00 -0500
TN017_000004,2021-08-13 15:23:00.000,1_275959,48.08,48.08,-0.01,Captured later by Sri ,1628868180000,2021-08-13 15:23:00,2021-08-13 10:23:00 -0500
TN017_000004,2021-08-13 15:30:00.000,1_275959,47.94,47.94,-0.01,Captured later by Sri ,1628868600000,2021-08-13 15:30:00,2021-08-13 10:30:00 -0500
TN017_000004,2021-08-13 15:32:00.000,1_275959,47.89,47.89,-0.01,Captured by Sri ,1628868720000,2021-08-13 15:32:00,2021-08-13 10:32:00 -0500
TN017_000004,2021-08-13 15:33:00.000,1_275959,47.88,47.88,-0.01,Captured by Sri ,1628868780000,2021-08-13 15:33:00,2021-08-13 10:33:00 -0500
TN017_000004,2021-08-13 15:34:00.000,1_275959,47.86,47.86,-0.01,Captured by Sri ,1628868840000,2021-08-13 15:34:00,2021-08-13 10:34:00 -0500
TN017_000004,2021-08-13 15:36:00.000,1_275959,47.81,47.81,-0.01,Captured by Sri ,1628868960000,2021-08-13 15:36:00,2021-08-13 10:36:00 -0500
TN017_000004,2021-08-13 15:39:00.000,1_275959,47.76,47.76,-0.01,Captured by Sri ,1628869140000,2021-08-13 15:39:00,2021-08-13 10:39:00 -0500
TN017_000004,2021-08-13 15:43:00.000,1_275959,47.68,47.68,-0.01,Captured by Sri ,1628869380000,2021-08-13 15:43:00,2021-08-13 10:43:00 -0500
